Aphrodite,ID,ID,ID,,,Line,,Notes by AR,Notes by DK
Darren,Aphrodite_,0038,Aphrodite_0038,,,"Trying to bribe me? Hehe. It won't work, but... I won't say no. While we're in such a generous mood, here's a little somethig for you too.",,,
Darren,Aphrodite_,0039,Aphrodite_0039,,,"An offering for me, little princeling? Thank you, I love it; and I want you to have a little something of mine.",,,
Darren,Aphrodite_,0043,Aphrodite_0043,,,"I'd never say anything less than my most sincere and affectionate opinions of you, Lady Soraka. What do you take me for?",,,
Integrated,Aphrodite_,0075,Aphrodite_0075,,,You're going to love this!,,,
Integrated,Aphrodite_,0076,Aphrodite_0076,,,Who's messing with the little prince?,,,
Integrated,Aphrodite_,0077,Aphrodite_0077,,,"Just leave it to me, little cub!",,,
Darren,Aphrodite_,0080,Aphrodite_0080,,,"Hi there, little cub!",,,
Integrated,Aphrodite_,0081,Aphrodite_0081,,,Lovely to see you!,,,
Darren,Aphrodite_,0082,Aphrodite_0082,,,"Don't stray from your path, prince!",,,
Integrated,Aphrodite_,0083,Aphrodite_0083,,,"Well look at you, hm-hm.",,,
Integrated,Aphrodite_,0084,Aphrodite_0084,,,"Oh good, we meet again!",,,
Darren,Aphrodite_,0085,Aphrodite_0085,,,"Perfection, prince.",,,
Darren,Aphrodite_,0086,Aphrodite_0086,,,I'd love to.,,,
Integrated,Aphrodite_,0087,Aphrodite_0087,,,"Ooh, it would be my pleasure!",,,
Integrated,Aphrodite_,0088,Aphrodite_0088,,,I like the sound of that.,,,
Darren,Aphrodite_,0089,Aphrodite_0089,,,Beautiful.,,,
Integrated,Aphrodite_,0090,Aphrodite_0090,,,"Thank you, little prince.",,,
Integrated,Aphrodite_,0091,Aphrodite_0091,,,How thoughtful.,,,
Integrated,Aphrodite_,0092,Aphrodite_0092,,,"Why thank you, Sett!",,,
Integrated,Aphrodite_,0093,Aphrodite_0093,,,You really shouldn't have!,,,
Integrated,Aphrodite_,0094,Aphrodite_0094,,,I'll remember this~,,,
Integrated,Aphrodite_,0095,Aphrodite_0095,,,I appreciate it.,,,
Integrated,Aphrodite_,0096,Aphrodite_0096,,,I'm positively touched!,,,
Darren,Aphrodite_,0097,Aphrodite_0097,,,"Hold on, I have something for you!",,,
Darren,Aphrodite_,0098,Aphrodite_0098,,,"I got you something, little prince.",,,
Darren,Aphrodite_,0099,Aphrodite_0099,,,A symbol of my favour.,,,
Darren,Aphrodite_,0100,Aphrodite_0100,,,There's something I want you to have.,,,
Darren,Aphrodite_,0101,Aphrodite_0101,,,"You've earned this, little prince.",,,
Darren,Aphrodite_,0102,Aphrodite_0102,,,"Oh, hehehe, no.",,,
Darren,Aphrodite_,0103,Aphrodite_0103,,,"How disappointing, honestly.",,,
Integrated,Aphrodite_,0104,Aphrodite_0104,,,When shall they ever learn?,,,
Darren,Aphrodite_,0105,Aphrodite_0105,,,I don't know why I expected more.,,,
Darren,Aphrodite_,0106,Aphrodite_0106,,,All spirits make mistakes.,,,
Darren,Aphrodite_,0107,Aphrodite_0107,,,"Well, that's not good.",,,
Integrated,Aphrodite_,0108,Aphrodite_0108,,,It's not a good idea to make me angry.,,,
Darren,Aphrodite_,0109,Aphrodite_0109,,,You little...!,,,
Integrated,Aphrodite_,0110,Aphrodite_0110,,,You stubborn--!,,,
Integrated,Aphrodite_,0111,Aphrodite_0111,,,What's gotten into you?,,,
Integrated,Aphrodite_,0112,Aphrodite_0112,,,You really dare?,,,
Integrated,Aphrodite_,0113,Aphrodite_0113,,,You little fool.,,,
Integrated,Aphrodite_,0114,Aphrodite_0114,,,"You do not want to make me angrier, I'm warning you..",,,
Darren,Aphrodite_,0115,Aphrodite_0115,,,"Not now, Sett, I'm busy.",,,
Darren,Aphrodite_,0116,Aphrodite_0116,,,I don't have time for you.,,,
Darren,Aphrodite_,0117,Aphrodite_0117,,,"Shoo, I'm not interested now.",,,
Darren,Aphrodite_,0118,Aphrodite_0118,,,Really?,,,
Darren,Aphrodite_,0119,Aphrodite_0119,,,Really...?,,,
Darren,Aphrodite_,0120,Aphrodite_0120,,,That's unexpected.,,,
Darren,Aphrodite_,0121,Aphrodite_0121,,,How could this be!,,,
Integrated,Aphrodite_,0122,Aphrodite_0122,,,Whaaat?,,,
Darren,Aphrodite_,0123,Aphrodite_0123,,,What...?,,,
Darren,Aphrodite_,0124,Aphrodite_0124,,,I can't believe it!,,,
Darren,Aphrodite_,0125,Aphrodite_0125,,,I can't believe it...!,,,
Darren,Aphrodite_,0126,Aphrodite_0126,,,That's absurd!,,,
Darren,Aphrodite_,0127,Aphrodite_0127,,,That's absurd...!,,,
Darren,Aphrodite_,0128,Aphrodite_0128,,,That was beautiful!,,,
Integrated,Aphrodite_,0129,Aphrodite_0129,,,You're such a sweetheart.,,,
Integrated,Aphrodite_,0130,Aphrodite_0130,,,How lovely.,,,
Darren,Aphrodite_,0131,Aphrodite_0131,,,"Hm, impressive!",,,
Darren,Aphrodite_,0132,Aphrodite_0132,,,That was terrific.,,,
Integrated,Aphrodite_,0160,Aphrodite_0160,,,I knew you were true!,,,
Integrated,Aphrodite_,0161,Aphrodite_0161,,,I knew you'd come around.,,,
Integrated,Aphrodite_,0162,Aphrodite_0162,,,"What choice was there, really?",,,
Integrated,Aphrodite_,0163,Aphrodite_0163,,,Always trust your heart~,,,
Integrated,Aphrodite_,0164,Aphrodite_0164,,,I would never lead you astray~,,,
Integrated,Aphrodite_,0165,Aphrodite_0165,,,"Good choice, little prince.",,,
Integrated,Aphrodite_,0166,Aphrodite_0166,,,I'll claw out their hearts!,,,
Integrated,Aphrodite_,0167,Aphrodite_0167,,,"Let's complicate things, hm?",,,
Integrated,Aphrodite_,0168,Aphrodite_0168,,,"Oh, it's my pleasure!",,,
Integrated,Aphrodite_,0169,Aphrodite_0169,,,"Pure passion, coming up!",,,
Integrated,Aphrodite_,0170,Aphrodite_0170,,,"That's some nerve, little prince!",,,
Integrated,Aphrodite_,0171,Aphrodite_0171,,,You call upon me now?,,,
Integrated,Aphrodite_,0160,Aphrodite_0160,,,I knew you were true!,,,
Integrated,Aphrodite_,0161,Aphrodite_0161,,,I knew you'd come around.,,,
Integrated,Aphrodite_,0162,Aphrodite_0162,,,"What choice was there, really?",,,
Integrated,Aphrodite_,0163,Aphrodite_0163,,,Always trust your heart~,,,
Integrated,Aphrodite_,0164,Aphrodite_0164,,,I would never lead you astray~,,,
Integrated,Aphrodite_,0165,Aphrodite_0165,,,"Good choice, little prince.",,,
Integrated,Aphrodite_,0166,Aphrodite_0166,,,I'll claw out their hearts!,,,
Integrated,Aphrodite_,0167,Aphrodite_0167,,,"Let's complicate things, hm?",,,
Integrated,Aphrodite_,0168,Aphrodite_0168,,,"Oh, it's my pleasure!",,,
Integrated,Aphrodite_,0169,Aphrodite_0169,,,"Pure passion, coming up!",,,
Integrated,Aphrodite_,0170,Aphrodite_0170,,,"That's some nerve, little prince!",,,
Integrated,Aphrodite_,0171,Aphrodite_0171,,,You call upon me now?,,,
Integrated,Aphrodite_,0172,Aphrodite_0172,,,I'll claw out your heart next!,,,
Integrated,Aphrodite_,0194,Aphrodite_0194,,,"Try to deceive me, and I shall destroy you, little prince.",,,
Integrated,Aphrodite_,0195,Aphrodite_0195,,,"You could have followed me to salvation, but you're just making me angry.",,,
