Dusa,ID,ID,ID,,,,Line,,,Notes by DK
Darren,Dusa_,0024,Dusa_0024,,,,"Hehe, what do you need?",,,
Darren,Dusa_,0025,Dusa_0025,,,,I guess I can help you!,,,
Darren,Dusa_,0026,Dusa_0026,,,,What is it?,,,
Darren,Dusa_,0027,Dusa_0027,,,,"Fee Fi Fo Fum, I can help you get it done!",,,
Darren,Dusa_,0028,Dusa_0028,,,,Hello doggy.,,,
Darren,Dusa_,0029,Dusa_0029,,,,Hmm... okay!,,,
Darren,Dusa_,0031,Dusa_0031,,,,"Sure, sounds fun.",,,
Darren,Dusa_,0032,Dusa_0032,,,,Pix will help too!,,,
Darren,Dusa_,0033,Dusa_0033,,,,"Hehe, okay.",,,
Darren,Dusa_,0034,Dusa_0034,,,,Lulu always gets her work done. Mostly.,,,
Darren,Dusa_,0035,Dusa_0035,,,,"Sure, Prince Doggy.",,,
Darren,Dusa_,0036,Dusa_0036,,,,I'll do it after I play with Pix.,,,
Darren,Dusa_,0037,Dusa_0037,,,,Yes! Hehe.,,,
Darren,Dusa_,0038,Dusa_0038,,,,Okay~,,,
Unused,Dusa_,0047,Dusa_0047,,,,"Oh, I love gifts. And surprises! And butterflies. What was I saying... Oh yeah, here's something for you!",,,
Unused,Dusa_,0048,Dusa_0048,,,,"Oh, you remembered I like gifts. And I remembered you like gifts. We all like gifts! Hopefully this one isn't as sticky.",,,
Integrated,Dusa_,0049,Dusa_0049,,,,Eek!,,,
Integrated,Dusa_,0050,Dusa_0050,,,,Ah!,,,
Integrated,Dusa_,0051,Dusa_0051,,,,Doggy's back!,,,
Integrated,Dusa_,0052,Dusa_0052,,,,Hi Prince!,,,
Integrated,Dusa_,0053,Dusa_0053,,,,<Gasp>,,,
Integrated,Dusa_,0054,Dusa_0054,,,,Uh-oh!,,,
Integrated,Dusa_,0055,Dusa_0055,,,,Oh!,,,
Integrated,Dusa_,0056,Dusa_0056,,,,Whaa--?,,,
Integrated,Dusa_,0057,Dusa_0057,,,,"Hehe, hi!",,,
Integrated,Dusa_,0058,Dusa_0058,,,,Buh-bye!,,,
Integrated,Dusa_,0059,Dusa_0059,,,,"Hah, haha!",,,
Integrated,Dusa_,0060,Dusa_0060,,,,"Hah, haha...!",,,
Integrated,Dusa_,0061,Dusa_0061,,,,"Hah, haha...",,,
Integrated,Dusa_,0106,Dusa_0106,,,,"Oh, hi!",,,
Integrated,Dusa_,0107,Dusa_0107,,,,Hello!,,,
Integrated,Dusa_,0108,Dusa_0108,,,,Hello!,,,
Integrated,Dusa_,0109,Dusa_0109,,,,There you are!,,,
Integrated,Dusa_,0110,Dusa_0110,,,,You're back!,,,
Integrated,Dusa_,0111,Dusa_0111,,,,It's you!,,,
Integrated,Dusa_,0112,Dusa_0112,,,,Hi there!,,,
Integrated,Dusa_,0113,Dusa_0113,,,,Princey-poo!,,,
Integrated,Dusa_,0114,Dusa_0114,,,,Looky who!,,,
Integrated,Dusa_,0115,Dusa_0115,,,,Look at those fluffy ears... want to touch...,,,
Integrated,Dusa_,0116,Dusa_0116,,,,Whoa!,,,
Integrated,Dusa_,0117,Dusa_0117,,,,Hey!,,,
Integrated,Dusa_,0106,Dusa_0106,,,,"Oh, hi!",,,
Integrated,Dusa_,0107,Dusa_0107,,,,Hello!,,,
Integrated,Dusa_,0108,Dusa_0108,,,,Hello!,,,
Integrated,Dusa_,0109,Dusa_0109,,,,There you are!,,,
Integrated,Dusa_,0110,Dusa_0110,,,,You're back!,,,
Integrated,Dusa_,0111,Dusa_0111,,,,It's you!,,,
Integrated,Dusa_,0112,Dusa_0112,,,,Hi there!,,,
Integrated,Dusa_,0113,Dusa_0113,,,,Princey-poo!,,,
Integrated,Dusa_,0114,Dusa_0114,,,,Looky who!,,,
Integrated,Dusa_,0115,Dusa_0115,,,,Look at those fluffy ears... want to touch...,,,
Integrated,Dusa_,0116,Dusa_0116,,,,Whoa!,,,
Integrated,Dusa_,0134,Dusa_0164,,,,I'll be waiting.,,,
Integrated,Dusa_,0166,Dusa_0166,,,,Did you get that scar sticking your nose where it doesn't belong? Just kidding.,,,
Integrated,Dusa_,0179,Dusa_0179,,,,"You're missing out on the river water though, for real.",,,
Integrated,Dusa_,0181,Dusa_0181,,,,Whoa... I have a sister~,,,
Integrated,Dusa_,0191,Dusa_0191,,,,I got here right away!,,,
Integrated,Dusa_,0192,Dusa_0192,,,,Something need butterfly wing dust?,,,
Integrated,Dusa_,0193,Dusa_0193,,,,"Maybe I'm stronger than you. What do you think, Princey-poo?",,,
Integrated,Dusa_,0194,Dusa_0194,,,,"Oh hi, I'm here, I'm here!",,,
Integrated,Dusa_,0195,Dusa_0195,,,,Time to do my thing!,,,
Integrated,Dusa_,0196,Dusa_0196,,,,"Get 'em, Pix!",,,
Integrated,Dusa_,0197,Dusa_0197,,,,Your worst yordle nightmare is here to play!,,,
Integrated,Dusa_,0198,Dusa_0198,,,,"Need a yordle, Doggy?",,,
Integrated,Dusa_,0199,Dusa_0199,,,,Yordle coming through!!,,,
Integrated,Dusa_,0200,Dusa_0200,,,,Foul curse time!,,,
Integrated,Dusa_,0201,Dusa_0201,,,,Who wants to get cursed?!,,,
Integrated,Dusa_,0202,Dusa_0202,,,,Incomiiing!,,,
Integrated,Dusa_,0203,Dusa_0203,,,,"Who wants to tangle, huh?!",,,
Integrated,Dusa_,0204,Dusa_0204,,,,Got here as fast as I could!,,,
Integrated,Dusa_,0205,Dusa_0205,,,,You can count on me!,,,
Integrated,Dusa_,0206,Dusa_0206,,,,"I'm here, I-- here I am!",,,
Integrated,Dusa_,0207,Dusa_0207,,,,"Don't worry, Lulu will save you!",,,
Integrated,Dusa_,0208,Dusa_0208,,,,I'm here to rescue you!!,,,
Integrated,Dusa_,0209,Dusa_0209,,,,This sure beats mopping floors!,,,
Integrated,Dusa_,0210,Dusa_0210,,,,It's my big chance!!,,,
Integrated,Dusa_,0211,Dusa_0211,,,,It's time for me to shine!,,,
Integrated,Dusa_,0212,Dusa_0212,,,,I'm the strongest spirit in any realm!,,,
Integrated,Dusa_,0213,Dusa_0213,,,,"You got it, on the double!",,,
Integrated,Dusa_,0214,Dusa_0214,,,,"I'll get right on it, Prince!",,,
Integrated,Dusa_,0215,Dusa_0215,,,,You can count on me!,,,
Integrated,Dusa_,0216,Dusa_0216,,,,"Oh hi, sorry, Miss Alune!",,,
Integrated,Dusa_,0217,Dusa_0217,,,,"I really hate this part of the job, Miss Alune!",,,
Integrated,Dusa_,0218,Dusa_0218,,,,"Miss Alune, I am so sorry!",,,
